source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
1	11	0.485	ENSG00000196876.15_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000185760.15_PCGBA23
2	11	0.01	ENSG00000183454.16_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000185760.15_PCGBA23
3	11	0.015	ENSG00000022355.16_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000185760.15_PCGBA23
4	11	0.003	ENSG00000099365.10_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000185760.15_PCGBA23
5	11	0.194	ENSG00000164588.6_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000185760.15_PCGBA23
6	11	0.548	ENSG00000145864.12_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000145864.12_PCGBA23	ENSG00000185760.15_PCGBA23
7	11	0.036	ENSG00000067842.17_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000067842.17_PCGBA23	ENSG00000185760.15_PCGBA23
8	11	0.001	ENSG00000158445.9_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000158445.9_PCGBA23	ENSG00000185760.15_PCGBA23
9	11	0.133	ENSG00000148798.10_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000148798.10_PCGBA23	ENSG00000185760.15_PCGBA23
10	11	0.04	ENSG00000130540.13_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000130540.13_PCGBA23	ENSG00000185760.15_PCGBA23
12	11	0.026	ENSG00000006432.15_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000006432.15_PCGBA23	ENSG00000185760.15_PCGBA23
13	11	0.001	ENSG00000118402.5_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000118402.5_PCGBA23	ENSG00000185760.15_PCGBA23
14	11	0.02	ENSG00000162989.4_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000162989.4_PCGBA23	ENSG00000185760.15_PCGBA23
15	11	0.003	ENSG00000221866.9_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000221866.9_PCGBA23	ENSG00000185760.15_PCGBA23
16	11	0.003	ENSG00000157782.9_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000157782.9_PCGBA23	ENSG00000185760.15_PCGBA23
