gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000167614.13	PCGBA23	ENSG00000167614.13_PCGBA23	-0.8672777405245571	0.8672777405245571	6.079299282138381e-51
ENSG00000182054.9	PCGBA23	ENSG00000182054.9_PCGBA23	-0.829172088343278	0.829172088343278	9.048100909671398e-43
ENSG00000167614.13	MFBA9BA46	ENSG00000167614.13_MFBA9BA46	-0.8232211210804438	0.8232211210804438	1.1209661453717038e-41
ENSG00000147576.15	PCGBA23	ENSG00000147576.15_PCGBA23	-0.8173495928517822	0.8173495928517822	1.2262734792407854e-40
ENSG00000068078.17	PCGBA23	ENSG00000068078.17_PCGBA23	-0.79930083643035	0.79930083643035	1.1532266346705953e-37
ENSG00000125462.16	MFBA9BA46	ENSG00000125462.16_MFBA9BA46	-0.7970702466609454	0.7970702466609454	2.560247087629307e-37
ENSG00000147576.15	MFBA9BA46	ENSG00000147576.15_MFBA9BA46	-0.7864706138419516	0.7864706138419516	9.929956611752631e-36
ENSG00000125462.16	PCGBA23	ENSG00000125462.16_PCGBA23	-0.7855046499571859	0.7855046499571859	1.3715864927139501e-35
ENSG00000120915.13	PCGBA23	ENSG00000120915.13_PCGBA23	-0.7810769919058561	0.7810769919058561	5.90261007278955e-35
ENSG00000166816.13	MFBA9BA46	ENSG00000166816.13_MFBA9BA46	-0.7700194219023775	0.7700194219023775	1.9562107678814298e-33
ENSG00000083123.14	PCGBA23	ENSG00000083123.14_PCGBA23	-0.7698444654460579	0.7698444654460579	2.0643637390176016e-33
ENSG00000112294.12	PCGBA23	ENSG00000112294.12_PCGBA23	-0.7696478072341576	0.7696478072341576	2.192961748016703e-33
ENSG00000245573.7	PCGBA23	ENSG00000245573.7_PCGBA23	-0.7677954960787737	0.7677954960787737	3.8632906471159634e-33
ENSG00000143811.18	PCGBA23	ENSG00000143811.18_PCGBA23	-0.767695021548394	0.767695021548394	3.983196665795758e-33
ENSG00000149090.11	MFBA9BA46	ENSG00000149090.11_MFBA9BA46	-0.7664743875222637	0.7664743875222637	5.7672065593334956e-33
ENSG00000177576.11	PCGBA23	ENSG00000177576.11_PCGBA23	-0.7650052109340513	0.7650052109340513	8.977034356809443e-33
ENSG00000186815.12	PCGBA23	ENSG00000186815.12_PCGBA23	-0.762226667786359	0.762226667786359	2.0547387672220687e-32
ENSG00000154319.14	PCGBA23	ENSG00000154319.14_PCGBA23	-0.7588929424412847	0.7588929424412847	5.467624202818485e-32
ENSG00000120915.13	MFBA9BA46	ENSG00000120915.13_MFBA9BA46	-0.7588266833624195	0.7588266833624195	5.574123006523621e-32
ENSG00000138613.13	PCGBA23	ENSG00000138613.13_PCGBA23	-0.7585505916860993	0.7585505916860993	6.040277582840778e-32
