Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	max_abs_r	module_type	selected
ME_M1918	0.2597134655544966	1.1960442734734574e-05	-0.1359975286654314	0.023589990294419726	0.2907707502969978	8.465735953787491e-07	0.2907707502969978	CT	True
ME_M660	0.21254296237366743	0.00036774678897756846	-0.24901953764574336	2.7651485174778903e-05	0.2630090545970517	9.169185499630172e-06	0.2630090545970517	CT	True
ME_M1317	-0.25845020101662936	1.323062394639276e-05	0.194646566923391	0.001129484853180703	-0.179936262976543	0.0026491393192926422	0.25845020101662936	CT	True
ME_M154	0.25764939177061	1.4101009049988109e-05	-0.2079767515338143	0.0004940858100897368	0.16296993864252796	0.006562005464215569	0.25764939177061	CT	True
ME_M144	0.25341746035875123	1.9677693189404885e-05	-0.20723107549337116	0.0005181913441749726	0.15929113067506057	0.00790443732958462	0.25341746035875123	TS	True
ME_M1405	-0.19941991951378585	0.0008450948317503793	0.2315453567153769	0.0001005584566522031	-0.15350774853996357	0.010512271763327743	0.2315453567153769	TS	True
ME_M1460	0.22689883339287162	0.0001394902741476955	-0.21464973166151774	0.00032022929521608004	0.18035327111214133	0.002588093795389108	0.22689883339287162	TS	True
ME_M93	-0.2235895130951432	0.00017539171143051295	0.11526179724548147	0.05535816757739255	-0.11956344350249525	0.04680385653358138	0.2235895130951432	CT	True
ME_M1509	-0.21700500028550468	0.00027390437171251423	0.19966809620965142	0.0008322936968442316	-0.1523314895035447	0.011127493389723646	0.21700500028550468	CT	True
ME_M1543	-0.1591544460905685	0.00795872011908741	0.1594999216932112	0.007822154815287374	-0.21404150650532983	0.0003333250085846799	0.21404150650532983	CT	True
ME_M637	-0.21196193992188034	0.00038196068161437056	0.18997860788505416	0.0014903578387736943	-0.20138047597799497	0.0007487290246649499	0.21196193992188034	CT	True
ME_M376	0.2004533069981974	0.0007929609539475322	-0.19338931492159733	0.0012178145659797498	0.15853470428444646	0.008209031709623883	0.2004533069981974	CT	True
ME_M1537	0.09002568084752689	0.13502230474865956	-0.12913568222998875	0.031671592477079485	0.18999000972890046	0.0014893603254774338	0.18999000972890046	CT	True
ME_M38	0.18952405580935267	0.0015306274675681453	-0.13769048025013442	0.021894582592117896	0.11176173437120435	0.06324033718379658	0.18952405580935267	CT	True
ME_M1510	0.1401569510593206	0.019613608066331653	-0.18686366430217155	0.0017869824441505578	0.15357719542289977	0.010476908252199595	0.18686366430217155	CT	True
ME_M192	-0.18257723370751103	0.0022836031359129917	0.1552993673628892	0.009632969559019967	-0.09354540133183503	0.1203578799657672	0.18257723370751103	CT	True
ME_M1508	0.14780456473330694	0.013802089792986347	-0.18227470277615349	0.002323010582535882	0.09283518314006976	0.1232124118832519	0.18227470277615349	TS	True
ME_M1403	0.18224551699564803	0.0023268448727535983	-0.12783729910417008	0.03344095209209355	0.10989353798030524	0.06781153233132392	0.18224551699564803	TS	True
ME_M635	0.14738087397696883	0.01407918802048091	-0.13368054310614572	0.02609321481283717	0.17686280684751302	0.0031409939618647063	0.17686280684751302	CT	True
ME_M1969	0.12801077846896772	0.033199781764270776	-0.133466759155729	0.026335288641271118	0.17661848674889546	0.003183441464595482	0.17661848674889546	CT	True
ME_M1644	0.16455668495843012	0.006048829555138069	-0.1746418617265312	0.003546441339447911	0.16094226574658055	0.007274286938680245	0.1746418617265312	CT	True
ME_M883	0.1741656111922436	0.0036393225297426898	-0.13337616948392408	0.026438446703319463	0.16076630298324596	0.007339239031165698	0.1741656111922436	CT	True
ME_M1649	0.1734224564792759	0.0037886578059562076	-0.13450973097255514	0.025172314189548524	0.12266948877057161	0.04133977471726062	0.1734224564792759	CT	True
ME_M1308	0.16651221454589935	0.005466013862925652	-0.014176689929521105	0.8142925677969809	0.17165590219972854	0.004166112980427766	0.17165590219972854	CT	True
ME_M34	0.17157876218489812	0.004183342911972515	-0.16003747152177283	0.007613812728561757	0.08487630603634946	0.1589006275339699	0.17157876218489812	CT	True
ME_M1464	0.12412047190893807	0.03897749866753655	-0.17142285957598613	0.004218361599090349	0.09757299337624373	0.10513273019492107	0.17142285957598613	TS	True
ME_M1505	0.17102564411135368	0.004308781991210395	-0.1502217280340001	0.012311009428286454	0.09714507699830888	0.10667435382204249	0.17102564411135368	CT	True
ME_M1506	0.16676380038174754	0.0053948140103088444	-0.1606379593239572	0.007386939613377041	0.10393957035410796	0.08421140889007066	0.16676380038174754	CT	True
ME_M158	0.16544933198383338	0.005776214261134679	-0.1566101453809498	0.009031606583910237	0.05939881205127596	0.32462761832026327	0.16544933198383338	CT	True
ME_M1849	0.04142453092118033	0.49232303319790066	-0.04521015774596493	0.45359946855941496	0.16451983750779436	0.0060603265354768465	0.16451983750779436	CT	True
ME_M68	-0.14488035077846956	0.015816132560811477	0.16213585180829693	0.0068470842978600385	-0.12345005449088153	0.04005440903006693	0.16213585180829693	CT	True
ME_M742	-0.10333806444556727	0.08603224604386614	0.06954149585675441	0.24867879737378848	-0.15991239790852776	0.007661841756236462	0.15991239790852776	CT	True
ME_M1599	0.1547755128751337	0.009883065530195304	-0.15856370971773398	0.008197162032191129	0.08398432870330277	0.16334152792650786	0.15856370971773398	CT	True
ME_M193	0.15714595355911615	0.008795546097748961	-0.13700301081697303	0.022569894758072785	0.1173352118113136	0.05108562856359156	0.15714595355911615	CT	True
ME_M1643	0.15215967184996856	0.0112199724030199	-0.1569656377787111	0.008874368322007536	0.10703362029722133	0.07532978272966295	0.1569656377787111	CT	True
ME_M229	0.15686183614426658	0.008920027634756375	-0.14763277853129894	0.013913857182375873	0.12125036665490227	0.04376569913543423	0.15686183614426658	TS	True
ME_M188	0.15667041850022553	0.009004774175260095	-0.04246840898416538	0.48147225121220283	0.0331997722657818	0.5821771493852357	0.15667041850022553	CT	True
ME_M744	-0.15552920732316558	0.009525023076625885	0.11098605537161843	0.06510658658930564	-0.15574163829288115	0.009426208300384037	0.15574163829288115	CT	True
ME_M1477	0.1537654545157804	0.01038157244142486	-0.12498034841921735	0.03763215070051786	0.08283004645714039	0.16922567314600598	0.1537654545157804	CT	True
ME_M187	0.14781837707187978	0.013793137563205516	-0.08800960229394358	0.14401974555960684	0.10383025890007505	0.08453998273157501	0.14781837707187978	CT	True
ME_M1557	-0.09727243028266727	0.10621369625187513	0.016599987463161454	0.7832790039111958	-0.14671999049232212	0.014521163581614724	0.14671999049232212	CT	True
ME_M92	-0.14196622068843529	0.018074405364994366	0.03617406794564477	0.5488193626158417	0.009515154497592486	0.8747316758305815	0.14196622068843529	TS	True
ME_M1556	0.05447253631793725	0.366433148890235	-0.046748724617395876	0.4383637337204197	0.13865360562309018	0.02097793259865115	0.13865360562309018	CT	True
ME_M1313	0.13626472389889815	0.023315103043753695	-0.09693375563271042	0.1074422106094754	0.09006614589795522	0.13484624314232396	0.13626472389889815	CT	True
