phenotype	module	edge_freq
sqrt_parksc_demog_slope	M56	0.046
sqrt_parksc_demog_slope	M1159	0.046
sqrt_parksc_demog_slope	M2046	0.044
sqrt_parksc_demog_slope	M1753	0.044
sqrt_parksc_demog_slope	M1220	0.043
sqrt_parksc_demog_slope	M427	0.042
sqrt_parksc_demog_slope	M167	0.042
sqrt_parksc_demog_slope	M1157	0.042
sqrt_parksc_demog_slope	M1599	0.042
sqrt_parksc_demog_slope	M1770	0.042
sqrt_parksc_demog_slope	M67	0.04
sqrt_parksc_demog_slope	M1755	0.04
sqrt_parksc_demog_slope	M1779	0.04
sqrt_parksc_demog_slope	M151	0.038
sqrt_parksc_demog_slope	M1135	0.037
sqrt_parksc_demog_slope	M506	0.035
sqrt_parksc_demog_slope	M148	0.035
sqrt_parksc_demog_slope	M786	0.034
sqrt_parksc_demog_slope	M1080	0.033
sqrt_parksc_demog_slope	M1160	0.033
sqrt_parksc_demog_slope	M147	0.032
sqrt_parksc_demog_slope	M1970	0.032
sqrt_parksc_demog_slope	M509	0.031
sqrt_parksc_demog_slope	M430	0.03
sqrt_parksc_demog_slope	M163	0.027
sqrt_parksc_demog_slope	M24	0.023
sqrt_parksc_demog_slope	M504	0.023
