cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	VH	SMA	QUAD	frac_VH	frac_SMA	frac_QUAD	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
815	2	QUAD;VH													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	2	1.0	1	0.5	2	1.0	6	VCAM1(receptor;known_drug_target;Alzheimer_evidence);PIM2(kinase;enzyme;known_drug_target)	807
1165	2	QUAD													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	2	1.0	0	0.0	0	0.0	1	0.5	2	1.0	2	1.0	6	GCNT4(enzyme;Alzheimer_evidence);UHMK1(kinase;enzyme;known_drug_target;Alzheimer_evidence)	808
1288	3	QUAD													1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0.0	2	0.6666666666666666	0	0.0	0	0.0	1	0.3333333333333333	2	0.6666666666666666	2	0.6666666666666666	6	STK40(kinase;enzyme;known_drug_target;Alzheimer_evidence);SACM1L(enzyme;Alzheimer_evidence)	809
1388	3	QUAD;VH													0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	2	0.6666666666666666	2	0.6666666666666666	6	GHR(receptor;known_drug_target;Alzheimer_evidence);SLC2A12(transporter;known_drug_target;Alzheimer_evidence)	810
1413	3	VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.6666666666666666	0	0.0	0	0.0	2	0.6666666666666666	2	0.6666666666666666	2	0.6666666666666666	6	KMT2C(enzyme;known_drug_target;Alzheimer_evidence);ASH1L(enzyme;known_drug_target;Alzheimer_evidence)	811
1518	2	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	1.0	0	0.0	0	0.0	2	1.0	2	1.0	2	1.0	6	ATP1A1(enzyme;known_drug_target;Alzheimer_evidence);XPNPEP3(enzyme;known_drug_target;Alzheimer_evidence)	812
1916	3	QUAD;SMA;VH													1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	1	0.3333333333333333	2	0.6666666666666666	2	0.6666666666666666	6	ATF7IP(transcription_factor;Alzheimer_evidence);EEF2K(kinase;enzyme;known_drug_target;Alzheimer_evidence)	813
2049	2	QUAD;SMA													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	1	0.5	2	1.0	2	1.0	6	IGF2R(receptor;Alzheimer_evidence);MAPKAPK2(kinase;enzyme;known_drug_target;Alzheimer_evidence)	814
2450	2	QUAD;VH													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	2	1.0	0	0.0	0	0.0	1	0.5	2	1.0	2	1.0	6	MT-ND1(enzyme;Alzheimer_evidence);MYLK(kinase;enzyme;known_drug_target;Alzheimer_evidence)	815
2461	2	SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	0	0.0	2	1.0	2	1.0	2	1.0	6	SLC25A29(transporter;known_drug_target;Alzheimer_evidence);ADCY2(enzyme;known_drug_target;Alzheimer_evidence)	816
2555	2	VH													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	1	0.5	2	1.0	2	1.0	6	CDK18(kinase;enzyme;known_drug_target;Alzheimer_evidence);PAQR4(receptor;Alzheimer_evidence)	817
2739	2	QUAD;SMA													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	1	0.5	2	1.0	2	1.0	6	GREB1L(receptor;Alzheimer_evidence);PRKAG1(kinase;enzyme;known_drug_target;Alzheimer_evidence)	818
2744	2	QUAD													0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	0	0.0	2	1.0	2	1.0	2	1.0	6	HDAC3(enzyme;known_drug_target;Alzheimer_evidence);SLC35B1(transporter;known_drug_target;Alzheimer_evidence)	819
3128	2	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	0	0.0	1	0.5	0	0.0	2	1.0	2	1.0	2	1.0	6	SELPLG(receptor;known_drug_target;Alzheimer_evidence);SLC29A2(transporter;known_drug_target;Alzheimer_evidence)	820
3380	2	SMA													0	0.0	0	0.0	0	0.0	0	0.0	1	0.5	1	0.5	0	0.0	0	0.0	2	1.0	2	1.0	2	1.0	6	IDH2(enzyme;known_drug_target;Alzheimer_evidence);SLC35H1(transporter;known_drug_target;Alzheimer_evidence)	821
3386	2	SMA													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	2	1.0	0	0.0	0	0.0	1	0.5	2	1.0	2	1.0	6	VRK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);DCPS(enzyme;Alzheimer_evidence)	822
3589	3	QUAD;SMA													1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0.0	2	0.6666666666666666	1	0.3333333333333333	0	0.0	0	0.0	2	0.6666666666666666	2	0.6666666666666666	6	RACK1(kinase;enzyme;receptor;Alzheimer_evidence);USP42(enzyme;Alzheimer_evidence)	823
3605	2	QUAD;SMA													1	0.5	0	0.0	0	0.0	0	0.0	0	0.0	2	1.0	0	0.0	0	0.0	1	0.5	2	1.0	2	1.0	6	MAST4(kinase;enzyme;known_drug_target;Alzheimer_evidence);COX6A1(enzyme;Alzheimer_evidence)	824
3693	2	QUAD													0	0.0	0	0.0	0	0.0	1	0.5	0	0.0	1	0.5	1	0.5	0	0.0	1	0.5	2	1.0	2	1.0	6	NR4A1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);IDH3G(enzyme;Alzheimer_evidence)	825
