ensembl_gene_id_base	hgnc_symbol	hgnc_name	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence	target_categories	therapeutic_target_score
ENSG00000111647	BLTP3B	bridge-like lipid transfer protein family member 3B	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000251396	LINC01301	long intergenic non-protein coding RNA 1301	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000156521	TYSND1	trypsin like peroxisomal matrix peptidase 1	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000158156	XKR8	XK related 8	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000158716	DUSP23	dual specificity phosphatase 23	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000006025	OSBPL7	oxysterol binding protein like 7	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000250770			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000250742	LINC02381	long intergenic non-protein coding RNA 2381	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000158079	PTPDC1	protein tyrosine phosphatase domain containing 1	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000158023	CFAP251	cilia and flagella associated protein 251	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000250571	GLI4	GLI family zinc finger 4	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000186230	ZNF749	zinc finger protein 749	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000186205	MTARC1	mitochondrial amidoxime reducing component 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000111203	ITFG2	integrin alpha FG-GAP repeat containing 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000111196	MAGOHB	mago homolog B, exon junction complex subunit	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000110851	PRDM4	PR/SET domain 4	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000158008	EXTL1	exostosin like glycosyltransferase 1	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000110583	NAA40	N-alpha-acetyltransferase 40, NatD catalytic subunit	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000111077	TNS2	tensin 2	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000110446	SLC15A3	solute carrier family 15 member 3	0.0		False	False	False	False	True	False	False	False	True	False	transporter;known_drug_target	2
ENSG00000158163	DZIP1L	DAZ interacting zinc finger protein 1 like	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000111364	DDX55	DEAD-box helicase 55	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000006047	YBX2	Y-box binding protein 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000250687	NAIPP1	NAIP pseudogene 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000250686			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000007545	CRAMP1	cramped chromatin regulator 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000007520	TSR3	TSR3 ribosome maturation factor	0.0		False	False	False	False	False	False	False	False	False	False		0
