Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selected
ME_M10	-0.09624278896341773	0.3217595683272272	0.03902670536715144	0.6884121103484493	-0.05848870161145892	0.5476570694190599	-0.2292604236692191	0.01700028369125156	-0.023145061511977753	0.8120645111172319	0.2292604236692191	10	CT	True
ME_M101	-0.1952506478396622	0.0428645477305539	-0.19802438058572047	0.03993947633985395	0.06781702636289219	0.48556639663946494	0.05536665552367841	0.5692688117511704	-0.17222924668249603	0.07468795962108817	0.19802438058572047	101	CT	False
ME_M102	-0.14259245445298008	0.14097906719186218	-0.11331855919910472	0.2429264271953013	-0.007141868246672224	0.9415214318705767	0.07157791200112965	0.4616401649074906	-0.23371909930810142	0.014915085036054144	0.23371909930810142	102	CT	False
ME_M103	-0.21799815492391192	0.0234224190701667	-0.20975141037635772	0.029351463038778194	0.002282739064345233	0.9812937912838213	0.058974144447224174	0.5443329742581358	-0.23815949644488835	0.013062885776646225	0.23815949644488835	103	CT	False
ME_M104	-0.2701191251601003	0.0046949425546639716	-0.21938165946383142	0.022535608908036815	0.012976156843952188	0.8939651319460851	0.11284605984439047	0.24490942017513792	-0.26378198615437937	0.005807826365529794	0.2701191251601003	104	CT	False
ME_M105	-0.027298696301726596	0.7791341974596406	-0.10765581723645695	0.2674300860199691	0.1150255379932105	0.23585537555164884	-0.0066759365885570784	0.9453304457025193	-0.06523504009748635	0.5023678434593029	0.1150255379932105	105	CT	False
ME_M1053	-0.0032512981529395323	0.973359280053757	0.02985618784658879	0.7590469240670754	0.14052028520565613	0.1469066605444263	-0.049277466630305466	0.6125370274112463	-0.024197082951905098	0.8036904922506309	0.14052028520565613	1053	CT	False
ME_M1056	-0.13406178192529666	0.16658758795653872	-0.03351132020118001	0.7306175451319309	-0.10492370892941702	0.279831795652592	0.051267848872641186	0.5982365111608623	-0.06024696344674312	0.5356645020272977	0.13406178192529666	1056	CT	False
ME_M1058	0.0049829629249948035	0.9591803287618085	-0.006616245488814603	0.945818514186296	0.14005493754984874	0.1482632905827455	-0.028736106889047378	0.7678255231446593	-0.02698504319553554	0.781608058610846	0.14005493754984874	1058	CT	False
ME_M1059	0.08526265601853766	0.38028891415957494	0.019567969497231018	0.8406913409263196	0.12748569526538606	0.1885684701984891	-0.02056496690863914	0.8326899467295988	0.005828510341725254	0.9522612955311204	0.12748569526538606	1059	CT	False
ME_M106	-0.11326156004478496	0.24316505024050367	-0.12807240523347313	0.1865256951080651	-0.009996442599729642	0.9182171081187847	0.07634237556593551	0.43228451288012326	-0.09485005776668631	0.3288442972235913	0.12807240523347313	106	CT	False
ME_M1060	-0.0734581231091116	0.44992640444899107	-0.033196719130935	0.7330508193293032	-0.1272132471995535	0.1895225758784569	-0.021719206329808737	0.8234479562667745	-0.029343961828818342	0.7630577567483441	0.1272132471995535	1060	CT	False
ME_M1063	0.014742515911768964	0.8796332336475495	-0.12084594134800511	0.21282836276892397	-0.03432848997497978	0.7243096930781957	0.1271429459151561	0.189769337271351	-0.0972561298223916	0.3166669809337603	0.1271429459151561	1063	CT	False
ME_M1064	0.0060573872407966925	0.9503890061832143	0.012102223305072136	0.9010689959598243	-0.13278236830106868	0.17070804480019908	0.06541635302424219	0.5011781963336597	0.012990716678232074	0.893846850131169	0.13278236830106868	1064	CT	False
ME_M1065	-0.015079570489082095	0.8769027031221708	-0.009787363443726563	0.9199218926936349	-0.07806499172249898	0.42193913084452717	0.05723599011018278	0.556280516545263	0.030154440615093744	0.7567144774113737	0.07806499172249898	1065	CT	False
ME_M1067	-0.00956253734239296	0.9217554790248366	-0.034921548023116006	0.7197432909143257	0.1297513705889325	0.18076910512871222	-0.023499883517042495	0.8092377325245588	-0.04291960984237768	0.6591790628853551	0.1297513705889325	1067	CT	False
ME_M1070	0.011555820858202018	0.9055144958416684	0.06607694148210708	0.49685635778483184	-0.08485363076845441	0.3825868458784915	0.014162960587541733	0.8843315827028468	0.054512859559176674	0.575248159933887	0.08485363076845441	1070	CT	False
ME_M1072	-0.05249718856706049	0.5894792774910362	-0.017914314660043007	0.8539981918751303	0.12303549709267021	0.20459448199977553	0.010206327685082447	0.9165061248889513	-0.09132327753566685	0.347226794819609	0.12303549709267021	1072	CT	False
