gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
LRRN1	ENSG00000175928.5	ENSG00000175928	MFBA9BA46	cross_cogn_global	cogn_global	0.022	cross_module	LRRN1	leucine rich repeat neuronal 1		Alzheimer_evidence	1	0.0273170843147367	europepmc:0.2246726471339948	False	False	False	False	False	False	False	False	False	True
SAR1A	ENSG00000079332.14	ENSG00000079332	PCGBA23	cross_cogn_global	cogn_global	0.021	cross_module	SAR1A	secretion associated Ras related GTPase 1A		Alzheimer_evidence	1	0.0491062680433544	europepmc:0.4038804107003489	False	False	False	False	False	False	False	False	False	True
FYB1	ENSG00000082074.15	ENSG00000082074	PCGBA23	cross_cogn_global	cogn_global	0.02	cross_module	FYB1	FYN binding protein 1		Alzheimer_evidence	1	0.0147700409995892	europepmc:0.12147797954649073	False	False	False	False	False	False	False	False	False	True
ALDH5A1	ENSG00000112294.12	ENSG00000112294	PCGBA23	M935	cogng_demog_slope	0.894	per_module	ALDH5A1	aldehyde dehydrogenase 5 family member A1		enzyme;known_drug_target;Alzheimer_evidence	3	0.2822072578898084	clinical_precedence:0.4593254915287803;europepmc:0.07898878627300993;expression_atlas:0.04205607812432506	False	False	False	False	False	True	False	False	True	True
FURIN	ENSG00000140564.11	ENSG00000140564	PCGBA23	M34	cogng_demog_slope	0.289	per_module	FURIN	furin, paired basic amino acid cleaving enzyme		enzyme;known_drug_target;Alzheimer_evidence	3	0.033088020118339	europepmc:0.2721364030933455	False	False	False	False	False	True	False	False	True	True
SPI1	ENSG00000066336.11	ENSG00000066336	AC	M11	cogng_demog_slope	0.264	per_module	SPI1	Spi-1 proto-oncogene		transcription_factor;Alzheimer_evidence	2	0.41094073650748	crispr_screen:0.6036785814511665;gwas_credible_sets:0.20742265632683196;europepmc:0.9194427907725885	False	False	False	False	False	False	False	True	False	True
RASSF5	ENSG00000266094.7	ENSG00000266094	AC	M34	cogng_demog_slope	0.236	per_module	RASSF5	Ras association domain family member 5			0	0.0		False	False	False	False	False	False	False	False	False	False
ADHFE1	ENSG00000147576.15	ENSG00000147576	PCGBA23	M935	cogng_demog_slope	0.227	per_module	ADHFE1	alcohol dehydrogenase iron containing 1		enzyme	1	0.0		False	False	False	False	False	True	False	False	False	False
TTYH1	ENSG00000167614.13	ENSG00000167614	PCGBA23	M935	cogng_demog_slope	0.208	per_module	TTYH1	tweety family member 1			0	0.0		False	False	False	False	False	False	False	False	False	False
ZBTB40	ENSG00000184677.16	ENSG00000184677	PCGBA23	M757	cogng_demog_slope	0.193	per_module	ZBTB40	zinc finger and BTB domain containing 40		transcription_factor;Alzheimer_evidence	2	0.2607687635997059	crispr_screen:0.42894481514045457	False	False	False	False	False	False	False	True	False	True
