phenotype	module	edge_freq
sqrt_parksc_demog_slope	M1918	0.043
sqrt_parksc_demog_slope	M1510	0.043
sqrt_parksc_demog_slope	M34	0.042
sqrt_parksc_demog_slope	M1506	0.036
sqrt_parksc_demog_slope	M1599	0.036
sqrt_parksc_demog_slope	M660	0.035
sqrt_parksc_demog_slope	M1313	0.035
sqrt_parksc_demog_slope	M158	0.03
sqrt_parksc_demog_slope	M191	0.03
sqrt_parksc_demog_slope	M1505	0.029
sqrt_parksc_demog_slope	M38	0.029
sqrt_parksc_demog_slope	M1649	0.028
sqrt_parksc_demog_slope	M1460	0.026
sqrt_parksc_demog_slope	M1557	0.024
sqrt_parksc_demog_slope	M1308	0.024
sqrt_parksc_demog_slope	M93	0.024
sqrt_parksc_demog_slope	M376	0.023
sqrt_parksc_demog_slope	M1403	0.022
sqrt_parksc_demog_slope	M1654	0.022
sqrt_parksc_demog_slope	M1464	0.02
sqrt_parksc_demog_slope	M1317	0.02
sqrt_parksc_demog_slope	M1644	0.019
sqrt_parksc_demog_slope	M744	0.018
sqrt_parksc_demog_slope	M883	0.017
sqrt_parksc_demog_slope	M1509	0.017
sqrt_parksc_demog_slope	M1537	0.015
sqrt_parksc_demog_slope	M742	0.013
