Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_type
ME_M1918	0.2614659935306915	1.6216948898916197e-05	-0.14783629656272695	0.016019426444981624	0.29199894586982134	1.3198005013029668e-06	0.048347142380132234	0.43317366663576223	-0.10685215193606344	0.0825323431540237	0.29199894586982134	CT
ME_M660	0.2061315299954513	0.0007353613745798683	-0.23976264599091673	8.071833329198132e-05	0.265053179770428	1.2265300408875222e-05	0.024744431510608872	0.6884441391208764	-0.12621080782428712	0.040066032916513186	0.265053179770428	CT
ME_M1317	-0.24834270455435623	4.354141061658971e-05	0.18080759327216386	0.003138838058794141	-0.18375714749684588	0.0026749061757177124	-0.10234097874522727	0.09641602847942891	0.044336428877614874	0.47233416603698364	0.24834270455435623	CT
ME_M154	0.24294892387778427	6.435034350148751e-05	-0.1928801614382803	0.0016066667559072076	0.17524235903998253	0.0042173603382900625	0.15647822824085422	0.010742271884272793	-0.0813747345074229	0.18663018959756428	0.24294892387778427	CT
ME_M144	0.24284982343653594	6.480850747677811e-05	-0.19601389179137502	0.001341469337216291	0.18193585433002218	0.0029533864342451708	0.13177159848653155	0.03200848151689667	-0.09991355969234468	0.10462160097401478	0.24284982343653594	TS
ME_M1405	-0.1910453663129083	0.0017833986643812885	0.2245582850660942	0.00022830641351274857	-0.18141347757465665	0.0030379768418463044	-0.12594235405390752	0.04049484390049712	0.1157171344603388	0.059950466423614075	0.2245582850660942	TS
ME_M1460	0.2083058320975969	0.0006438113270423795	-0.2197646013802636	0.00031243604174513765	0.20334665781880687	0.0008701798477004307	0.12053752066207363	0.049985838531756095	-0.08691738473499636	0.15827548810065775	0.2197646013802636	TS
ME_M1543	-0.15904684896711233	0.009503653443804314	0.16674137106233905	0.006516492165060056	-0.21959813224505803	0.0003158204858680731	0.01816718249438705	0.7684778143650783	0.17961849593809295	0.003345656916727321	0.21959813224505803	CT
ME_M93	-0.21438268690986223	0.0004408357765825266	0.10579339753992172	0.08563670782135176	-0.10983916852876122	0.07426063873821016	-0.06362379879606074	0.3021329711356389	-0.02823659771764319	0.647256484064756	0.21438268690986223	CT
ME_M637	-0.20434351377683707	0.0008194999576365614	0.19541171538356408	0.0013890805207547848	-0.21225547286647872	0.0005039359998278636	-0.06266131137955508	0.309520254178787	0.1141904227401442	0.06342876745066142	0.21225547286647872	CT
ME_M1509	-0.20394627167478285	0.0008393601280949342	0.17570036216248758	0.004117382553305726	-0.17255710827645568	0.004848840794719471	-0.09538016137642333	0.12141301916371448	0.06878459100601003	0.2645245556935602	0.20394627167478285	CT
ME_M1969	0.12738862060690037	0.038229660128821785	-0.1679025313471743	0.0061474437361431385	0.19278518403485714	0.001615406533955448	0.0677793344081688	0.27158643203707505	-0.16312665656910968	0.007795466080494533	0.19278518403485714	CT
ME_M1510	0.1326232266687243	0.03090556639115254	-0.192653550881905	0.0016275912999427545	0.1878867657527153	0.0021297424141908626	0.07168849155196398	0.24483587230145923	-0.1212156860617264	0.048701604052939544	0.192653550881905	CT
ME_M1849	0.044964532819725886	0.466076230320622	-0.062367774922364255	0.31179661861236646	0.1902663606236567	0.0018636706356560768	-0.0028564021461062045	0.963087764960031	-0.15837148770641843	0.009816399652062748	0.1902663606236567	CT
ME_M1308	0.18804705186058307	0.0021107866926649965	-0.02743486899017459	0.6566234597375017	0.1896831020296834	0.0019259176782357706	0.0647132869539502	0.2939128278868442	-0.04357524020059305	0.47997932760717343	0.1896831020296834	CT
ME_M376	0.1894989617002853	0.0019459603677341895	-0.18885661670507176	0.002017375860814373	0.15150129233745402	0.013554005884334261	0.03818856310511252	0.5359480916859016	0.011178058065185223	0.8562804009750323	0.1894989617002853	CT
ME_M635	0.14407767699616209	0.018946418153486005	-0.12471776591332903	0.0425003109273493	0.18533457554040222	0.0024532325517554235	0.04715830623466819	0.4445824290273992	-0.13612195651647105	0.02670841700400204	0.18533457554040222	CT
ME_M883	0.16479042993503507	0.007181340829379105	-0.14503698366699877	0.018158290175040906	0.18447525300236134	0.002571827858035319	0.07552279061516767	0.22043926893140767	-0.07880352567114071	0.20098380261764698	0.18447525300236134	CT
ME_M192	-0.18112620432308502	0.0030854268178552315	0.15556199052464065	0.011217451300789038	-0.09476271435790276	0.12385371045530452	-0.03985609568440186	0.5182794307637552	0.09039140577260472	0.14223594802810166	0.18112620432308502	CT
ME_M1649	0.17500550693048406	0.004269917173453107	-0.11835070990255077	0.054320681249042546	0.14587174772743047	0.01749586390688091	0.06006780883246432	0.3300116130400618	0.019482528088037805	0.7522429137316052	0.17500550693048406	CT
ME_M1508	0.13387230432639702	0.029346690773203433	-0.17421651109532355	0.004449280609676558	0.11423401089297718	0.0633272102597796	0.13338217676477176	0.029950172476420373	-0.10221257016508789	0.09683687251759115	0.17421651109532355	TS
ME_M1403	0.17320633274519542	0.00468882457520601	-0.1214507756325256	0.048262896638671116	0.14519835761645167	0.01802855531045684	0.05981629257680087	0.33204428271487707	-0.09043511213285838	0.14204237305804998	0.17320633274519542	TS
ME_M38	0.17278218278028745	0.004792818105259399	-0.14123769557686414	0.021456446493480715	0.11612163515238408	0.05905572324308675	-0.03170549376204664	0.6073796744559814	-0.08120589986875953	0.18754895801228555	0.17278218278028745	CT
ME_M1464	0.10212151855724173	0.0971361675774199	-0.17028286814211668	0.005448849922363961	0.1276423932332715	0.03784345123797932	0.1235701971690095	0.0444548124667406	-0.08260182715398084	0.18005171902558748	0.17028286814211668	TS
ME_M190	0.03414488106668906	0.5800085715580349	-0.0424367007512518	0.49153861270699795	0.04244736512646857	0.49142965510628767	0.1675582293746212	0.006254870480288616	-0.06401511046767924	0.2991632071391517	0.1675582293746212	TS
ME_M1537	0.0724539506739526	0.23982083805769036	-0.0939603305033378	0.1270821132705113	0.166308201343182	0.0066591606924470605	0.10468385050591261	0.08898999176165506	-0.06236319807886616	0.3118321985265135	0.166308201343182	CT
ME_M1644	0.15269642229663197	0.012825523907894347	-0.16611241731388	0.006724555294722196	0.16187940033570222	0.008286090201258369	0.04513532904279096	0.46438250158618694	-0.015813793098147958	0.7977740255066688	0.16611241731388	CT
ME_M68	-0.12521925534977046	0.04166916182479599	0.165759628204519	0.006843842047778448	-0.12398053699995139	0.04374744620548282	-0.06295033436824175	0.3072895851354416	0.14109471338948174	0.02159009374750382	0.165759628204519	CT
ME_M744	-0.14847102427938189	0.015566269656872416	0.11327308270400548	0.06559732473499945	-0.16545122596408599	0.006949665313569895	-0.034047000207681755	0.5810956914813568	0.0004785127527988098	0.9938142224201099	0.16545122596408599	CT
ME_M742	-0.11301686529384247	0.06621375456179018	0.06676173546811856	0.27886466280975325	-0.1624489684947393	0.008058734114018081	-0.018487972982288367	0.7645087726213414	0.03632407057344143	0.5560544405065646	0.1624489684947393	CT
ME_M66	0.06920466918444979	0.2616111462236764	-0.07404630519934173	0.2296200370339525	0.08913099522691975	0.14790535820491743	0.03852508834162105	0.5323582316767161	-0.16127905826451933	0.008531890465271922	0.16127905826451933	CT
ME_M34	0.15106886266774694	0.013826407900691179	-0.16033841711932822	0.008930067244802617	0.08569699297418766	0.16422196165106623	-0.02107065770745905	0.7327859948853491	-0.09589813671227426	0.11939451771330314	0.16033841711932822	CT
ME_M1505	0.1581560034643517	0.009918087279857865	-0.13643924647585864	0.02635322182749867	0.11389062423588354	0.06413090642932034	0.1054026391639166	0.08680588512998914	-0.05634079784072789	0.3609523226732092	0.1581560034643517	CT
ME_M1506	0.1546410470829682	0.011713679533952392	-0.1554157110170773	0.011295008804916734	0.12023515349297312	0.05056746081798323	0.11164941671601672	0.06958440690885502	-0.10118213649053057	0.10026711157870408	0.1554157110170773	CT
ME_M158	0.15433786185901305	0.01188122777456471	-0.1362429172506926	0.026572523703216226	0.06674414250970534	0.2789916431512214	0.12999384960662932	0.0344192231425805	-0.025785518281483462	0.6760618993386859	0.15433786185901305	CT
ME_M1599	0.1393837938318501	0.02324604964613477	-0.15257378616708636	0.012898655568533928	0.06178460341932397	0.3163515664955805	-0.06727295552586582	0.27519190656989606	0.03470228009800579	0.5738359299341941	0.15257378616708636	CT
ME_M1557	-0.09783661783834811	0.11207166917690072	0.023263372001240117	0.7062025346928718	-0.15256201045002485	0.012905697052599073	0.030151496716323598	0.6251095892103198	0.023387292477923927	0.7047104129252929	0.15256201045002485	CT
ME_M1654	0.10763687546060635	0.08029050546109281	-0.06551477957293898	0.2879616970691215	0.15058580978816571	0.014136371876466873	0.022196214103623716	0.719098105563766	-0.05782586427944849	0.3484131009344796	0.15058580978816571	CT
ME_M191	0.09119910193910952	0.1386910759636395	-0.08270797072220605	0.17949083494576784	0.1497584323869825	0.014681461008663164	0.11323224282322225	0.06569526449626051	-0.06890539662076044	0.2636844519943897	0.1497584323869825	CT
ME_M1313	0.12107500395491007	0.048965723598042556	-0.1087851971405749	0.07709884010610449	0.08983752001150108	0.14470658324377658	0.14910574928853776	0.015124369712120883	-0.06471777734041063	0.2938792596899023	0.14910574928853776	CT
ME_M187	0.14852087109305318	0.015531161754531047	-0.08292536548187597	0.17834611017425692	0.12031263768482268	0.05041788046848732	0.08445452847151261	0.17044630649065812	-0.08690128427178168	0.15835286937818677	0.14852087109305318	CT
ME_M1548	0.0720341694901282	0.2425621162829549	-0.11496751046008236	0.061638158867593114	0.14762477282113662	0.016172982215208583	-0.016874926757523327	0.784526704528326	-0.08597726887432876	0.16284170478007604	0.14762477282113662	CT
ME_M229	0.14749347730804815	0.01626894190862278	-0.1396538026870089	0.02297764467842843	0.11635063537897708	0.05855408674314734	-0.006904092386670287	0.9109340035749594	0.00289334731995073	0.9626106814582156	0.14749347730804815	TS
ME_M65	-0.09788822064070085	0.11188165807978537	0.11940289734908596	0.052197536081894196	-0.09855908017191667	0.10943435868574039	-0.05925383051392236	0.33661895143426396	0.1468229245452767	0.016766824765922346	0.1468229245452767	CT
ME_M193	0.14600518515959887	0.01739195131133669	-0.12252099950916763	0.04630722478426934	0.13061987083648857	0.03355326892372259	0.11496228307611803	0.06165006361468075	-0.07046054570977138	0.25303297014792336	0.14600518515959887	CT
ME_M1581	-0.06162203319105455	0.31762904609208975	0.021369439930860358	0.7291440502629378	-0.018147484424368955	0.7687217304561246	0.1441398058712952	0.01889448939577219	-0.0610156914059463	0.32242330135714065	0.1441398058712952	TS
ME_M1643	0.14385680547002166	0.019132033696929042	-0.14347042447443986	0.019460542226456667	0.1155204287274606	0.06038959620357122	-0.02677232642949036	0.6644050409981925	-0.027323591084872374	0.6579278661032326	0.14385680547002166	CT
ME_M188	0.142846610960932	0.020001264067349908	-0.04334082906502006	0.48234712616612524	0.03370809569375406	0.5848670602579268	-0.053461287860533946	0.38605559896724656	0.005756733092686685	0.9256885930455607	0.142846610960932	CT
ME_M1580	-0.07472627665098192	0.22535892842226118	0.07053909111516911	0.2525030213142828	-0.08427379701586932	0.1713661627065802	0.14277307899208333	0.02006585271137171	-0.02922712207665045	0.6357601172113392	0.14277307899208333	CT
ME_M1903	-0.054362816978270015	0.378084533087052	-0.0373530479731522	0.5449129728634083	-0.1419496342446634	0.02080159810309514	-0.0811319365998278	0.18795249720489962	0.029890594554521886	0.6281079233530457	0.1419496342446634	CT
ME_M1535	-0.044943125381308305	0.46628876097085925	-0.00717189862345452	0.9074943233744838	-0.04946930688205052	0.42256090207224356	-0.14056466293909964	0.022091844470834312	0.002720206660081966	0.9648466080740611	0.14056466293909964	CT
ME_M1477	0.1395105671291912	0.023119694197151618	-0.11757862811642242	0.05592378224996542	0.10493277206475506	0.08822869094383579	0.0890957837212355	0.14806617168004216	-0.002841231104550271	0.9632836767354238	0.1395105671291912	CT
ME_M1263	-0.13897875284723948	0.023653758595061497	0.11036035320718171	0.07288885870052787	-0.06290275660548789	0.30765605906435084	-0.061965597796920936	0.3149332593485997	0.029518405114898748	0.6323957635898286	0.13897875284723948	TS
ME_M1556	0.05527104341302071	0.37015699676169306	-0.05245102408015642	0.3951082818712042	0.1381231787580419	0.024535287361358845	-0.02308161198990974	0.708393131523789	-0.016999191168556083	0.7829793446331821	0.1381231787580419	CT
ME_M1115	0.12644455800848514	0.03969578049036471	-0.13763369265489694	0.025052240396661127	0.10154419487961008	0.09905103355493676	0.043100194276119705	0.48478434180630703	-0.01312978317028761	0.8315327566528238	0.13763369265489694	TS
ME_M1024	0.1174631415577854	0.0561669061887918	-0.025438930143083446	0.680174607033444	0.13428579518778722	0.028845688595404366	0.06561425462205328	0.2872287660242846	0.000652267461943629	0.9915681516644931	0.13428579518778722	TS
ME_M92	-0.13301462626288246	0.030409658946269062	0.02527837576228386	0.6820830081844104	0.015629402555145888	0.8000820131634153	-0.03199002059398118	0.6041577589390968	-0.07529203023155553	0.22185661043894872	0.13301462626288246	TS
