Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selected
ME_M1012	0.024724470068230853	0.6886823780793647	0.08141312428710121	0.1864217413048201	-0.059407605307986715	0.33536427086433146	0.06801746119502486	0.2699021119284474	0.04264225066675339	0.4894407882581476	0.08141312428710121	1012	TS	False
ME_M1014	0.021706631233291033	0.7250412166326478	-0.021054824223379596	0.7329791617295451	0.08059821329037116	0.1908833598354675	-0.019500672623789933	0.7520197032383494	-0.029355074267674575	0.634281328335958	0.08059821329037116	1014	TS	False
ME_M1024	0.11746314155778546	0.05616690618879171	-0.02543893014308349	0.680174607033444	0.13428579518778727	0.028845688595403814	0.06561425462205328	0.2872287660242848	0.0006522674619435809	0.9915681516644921	0.13428579518778727	1024	TS	False
ME_M1046	0.11305948373529083	0.06611089168813167	-0.08888334725059883	0.14903920344714305	0.05648148163302174	0.3597525247970095	0.03832170874290891	0.5345263218891287	-0.002944771302255984	0.9619466511927107	0.11305948373529083	1046	TS	False
ME_M1115	0.12644455800848517	0.03969578049036503	-0.13763369265489706	0.025052240396660767	0.10154419487961008	0.09905103355493697	0.04310019427611969	0.4847843418063069	-0.013129783170287576	0.831532756652823	0.13763369265489706	1115	TS	False
ME_M1139	0.07964964760470886	0.19617457014157058	-0.05167689904385145	0.40213057881937253	0.0025696408971723666	0.9667912280834979	0.06380850316333385	0.30072878070874576	0.014960480058342615	0.8084692517046348	0.07964964760470886	1139	CT	True
ME_M1144	0.04806800280631066	0.4358372180675726	-0.054098211182138124	0.3804135855699767	0.0373188124812014	0.5452818847240886	0.0876825355363514	0.15463079443178096	-0.04830291447792759	0.4335950642328922	0.0876825355363514	1144	TS	True
ME_M1158	-0.0690453584043712	0.26271342352846316	0.07091669957712214	0.24996602193784448	-0.09248938927969594	0.1331690895763447	0.05184003718306357	0.4006445514133874	0.0034566046537305617	0.9553389279041063	0.09248938927969594	1158	TS	False
ME_M1175	0.06340113417723604	0.303831507083094	-0.05268126624000673	0.3930340008331358	0.06455776201609177	0.2950770432962435	0.09008072754979086	0.1436177473125728	-0.08377269741619574	0.17393589486390007	0.09008072754979086	1175	TS	True
ME_M1179	0.0714957845598862	0.24610987240996315	-0.05398570591846517	0.38140650332954157	0.022129917605780522	0.7199019088607715	0.027280749871698016	0.6584303298839372	-0.0474414140416065	0.4418502061754809	0.0714957845598862	1179	CT	False
