gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000204514	SMA	ENSG00000204514_SMA	0.890818531996534	0.890818531996534	4.474719969924591e-126
ENSG00000279425	SMA	ENSG00000279425_SMA	0.8482371505157948	0.8482371505157948	5.85326287849934e-102
ENSG00000288884	SMA	ENSG00000288884_SMA	0.8435506998260399	0.8435506998260399	9.138796186611966e-100
ENSG00000284624	SMA	ENSG00000284624_SMA	0.8421040507729541	0.8421040507729541	4.201878749340924e-99
ENSG00000167978	SMA	ENSG00000167978_SMA	0.8413757847161146	0.8413757847161146	9.004537578343935e-99
ENSG00000279278	SMA	ENSG00000279278_SMA	0.8366954329473508	0.8366954329473508	1.1031384588403477e-96
ENSG00000121310	SMA	ENSG00000121310_SMA	0.8354604744662804	0.8354604744662804	3.824814842737815e-96
ENSG00000224310	SMA	ENSG00000224310_SMA	0.8333243047648999	0.8333243047648999	3.207323533269356e-95
ENSG00000167258	SMA	ENSG00000167258_SMA	0.8331095927499981	0.8331095927499981	3.965007510664773e-95
ENSG00000136861	SMA	ENSG00000136861_SMA	0.8306451732514695	0.8306451732514695	4.4264265252965894e-94
ENSG00000286970	SMA	ENSG00000286970_SMA	0.8282682289332901	0.8282682289332901	4.372824560605592e-93
ENSG00000269343	SMA	ENSG00000269343_SMA	0.828030175280684	0.828030175280684	5.4895855758760325e-93
ENSG00000227487	SMA	ENSG00000227487_SMA	0.8279505413867754	0.8279505413867754	5.923095779371509e-93
ENSG00000280660	SMA	ENSG00000280660_SMA	0.8263713603610994	0.8263713603610994	2.6524664995071837e-92
ENSG00000235008	SMA	ENSG00000235008_SMA	0.8257633040785125	0.8257633040785125	4.705412159591576e-92
ENSG00000279110	SMA	ENSG00000279110_SMA	0.8254962654779651	0.8254962654779651	6.0481400104672805e-92
ENSG00000280222	SMA	ENSG00000280222_SMA	0.8215157130378437	0.8215157130378437	2.4269113211837236e-90
ENSG00000240393	SMA	ENSG00000240393_SMA	0.8188311132386643	0.8188311132386643	2.780106056428996e-89
ENSG00000187792	SMA	ENSG00000187792_SMA	0.8178293972707329	0.8178293972707329	6.834723910040574e-89
ENSG00000169246	SMA	ENSG00000169246_SMA	0.8162996594668646	0.8162996594668646	2.671047576475321e-88
